n	host	sep	tabu	ann	sepF	tabuF	annF
27	YAD	1.6362329877e-5	1.3594664477229603e-5	1.6837930359000002e-5	1.4664468905e-5	1.125971480994152e-5	1.584626822e-5
89	YAD	8.1450813886e-5	4.6360181491761964e-5	5.9142558765e-5	9.0508734496e-5	2.6713932973650386e-5	3.5161396863999994e-5
89	portable	3.4356209019e-5	2.077168272078332e-5	2.4051381365e-5	2.0379115623e-5	1.3165544511496166e-5	1.4739951246e-5
27	portable	8.981313846000001e-6	7.3717398261253316e-6	7.484937252e-6	6.313821885e-6	5.383817415182755e-6	5.762112132999999e-6
101	portable	2.8079147941e-5	1.849126435866155e-5	2.0939390737e-5	1.8048957449e-5	1.2659898473623853e-5	1.4261756351e-5
218	portable	9.9983732647e-5	6.331777813799481e-5	7.2321310304e-5	4.8330863571e-5	2.921203608997527e-5	3.4153597199e-5
27	YAD-laptop	1.78013026e-5	1.3358143467122119e-5	1.42568594e-5	1.1853656499999999e-5	9.624503907637656e-6	9.787148e-6
101	YAD-laptop	4.87168045e-5	3.8643146905766525e-5	4.0742612e-5	3.13488598e-5	2.5245285447470815e-5	2.74289524e-5
218	YAD-laptop	0.0001989958407	0.0001331945838543993	0.0001532794706	8.83120671e-5	5.3574830925867004e-5	6.22407096e-5
346	portable	0.000400926826252	0.0002470712642767857	0.000249195535153	9.3410769403e-5	7.001553532869366e-5	7.559720219499999e-5
218	vedblade	5.8754724231e-5	3.59789730954583e-5	4.0002508133e-5	2.5969758855e-5	1.3073302671333121e-5	1.5078652043e-5
218	vedblade	6.0960807087e-5	7.212619058972199e-6	3.8792359571e-5	2.5522673574e-5	2.564813880376075e-6	1.5617289567e-5
218	vedblade	5.6841959752e-5	7.008214911616766e-6	3.6112481500999997e-5	2.6715418404000002e-5	3.0406409163763066e-6	1.5668778475e-5
27	vedblade	5.643387204e-6	3.264543815542272e-6	3.6066188349999997e-6	3.1604700989999997e-6	2.4015129864341087e-6	2.6463454469999998e-6
101	vedblade	1.4778658556e-5	9.730022733969987e-6	1.0363041899e-5	9.150400261e-6	6.416095061403508e-6	6.8150916510000005e-6
89	vedblade	1.7886127506000002e-5	9.892586330228621e-6	1.1391140959e-5	1.0215531548999999e-5	5.92706925298988e-6	6.655552641e-6
346	vedblade	0.00015288398338499998	0.00010984261695366796	0.00011841108015099999	5.2364636673e-5	2.8915587916385453e-5	3.2079492195e-5
346	amd2	0.000185092559456	0.00012552236059080421	0.00014068090784899998	6.5797474008e-5	3.575171107868782e-5	4.0265073993999995e-5
218	amd2	7.066416486999999e-5	3.8052665009938834e-5	4.4357300023000004e-5	3.3860569722999996e-5	1.629527317100851e-5	1.9472577304e-5
218	amd2	7.0311497654e-5	4.355907022366958e-5	4.3125588317e-5	3.196370828e-5	1.655431756297229e-5	1.8537394766e-5
27	amd2	6.289435267e-6	4.485847702702703e-6	4.794060885000001e-6	4.2089947099999995e-6	3.4051044694881885e-6	3.583971917e-6
101	amd2	1.9566986204e-5	1.1872622299921074e-5	1.3060837895000001e-5	1.1069846365e-5	7.563283639266706e-6	8.213205629e-6
89	amd2	2.3764073797000003e-5	1.3216510062348178e-5	1.4532645251e-5	1.3999708678999999e-5	7.650100673664993e-6	8.671877228e-6
